epoch,accuracy,loss,val_accuracy,val_loss
0,0.9349706172943115,0.10355042666196823,0.845231294631958,0.5979916453361511
1,0.9378671646118164,0.10335648059844971,0.8450409173965454,0.6325444579124451
2,0.9373776316642761,0.10487794131040573,0.845231294631958,0.6282468438148499
3,0.9479030966758728,0.08209414035081863,0.8357129096984863,0.7181913256645203
4,0.9507995843887329,0.08596799522638321,0.8465638756752014,0.6881090998649597
5,0.9559807181358337,0.0717037096619606,0.8532267212867737,0.6350299119949341
6,0.9563478827476501,0.07345191389322281,0.8585569858551025,0.6402350068092346
7,0.9592852592468262,0.07078345865011215,0.8612221479415894,0.7661400437355042
8,0.9576125741004944,0.0661260336637497,0.8551303744316101,0.6817595362663269
9,0.9640992283821106,0.05408260598778725,0.8604606986045837,0.685077965259552
10,0.9585101008415222,0.07928206026554108,0.8370454907417297,0.7433484792709351
11,0.9620593786239624,0.06723277270793915,0.8513230681419373,0.7258151769638062
12,0.9650375247001648,0.05884239822626114,0.8501808643341064,0.7407111525535583
13,0.9674037098884583,0.05846746638417244,0.8673139214515686,0.657592236995697
14,0.9697698950767517,0.05143627151846886,0.8654102683067322,0.6725353598594666
15,0.9732784032821655,0.04806758090853691,0.8381876945495605,0.7715410590171814
16,0.9735639691352844,0.042417071759700775,0.8720731139183044,0.6520131826400757
17,0.9759709239006042,0.03983810544013977,0.8802589178085327,0.6075977087020874
18,0.9739719033241272,0.04027126729488373,0.8770226240158081,0.6728435754776001
19,0.9753590226173401,0.04452584683895111,0.8524652719497681,0.6948351860046387
