epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.48754727840423584,0.796363353729248,1.3749144077301025,0.5407788157463074,0.8462507724761963,1.0950261354446411
1,0.5751891732215881,0.853429913520813,1.1942806243896484,0.41219690442085266,0.774775505065918,1.2865612506866455
2,0.5843316316604614,0.8641970157623291,1.1486022472381592,0.39603233337402344,0.7881213426589966,1.2296316623687744
3,0.5881147384643555,0.8686243891716003,1.1242287158966064,0.43203526735305786,0.774721622467041,1.2955313920974731
4,0.6010403633117676,0.8744167685508728,1.106176495552063,0.3813372552394867,0.7991369962692261,1.1955357789993286
5,0.6166456341743469,0.8822070360183716,1.0739847421646118,0.3798677325248718,0.7721344828605652,1.2781065702438354
6,0.6160151362419128,0.8851125240325928,1.0297040939331055,0.4665687084197998,0.8301217555999756,1.1038174629211426
7,0.6309899091720581,0.8873130083084106,1.0395838022232056,0.41440117359161377,0.7985796332359314,1.200825572013855
8,0.625315248966217,0.8876810669898987,1.0093966722488403,0.47685524821281433,0.8209249973297119,1.128943920135498
9,0.6294136047363281,0.8907906413078308,0.9967900514602661,0.47318148612976074,0.8138083219528198,1.1649329662322998
