model_a,model_b,a_only_correct,b_only_correct,statistic,p_raw,p_holm,significant_holm
Custom CNN,ResNet50,104,181,20.266666666666666,6.73640529567905e-06,4.0418431774074304e-05,True
Custom CNN,MobileNetV2,115,181,14.27364864864865,0.0001580622540400208,0.0007903112702001041,True
Custom CNN,EfficientNetB0,109,146,5.08235294117647,0.02417054717454526,0.09668218869818104,False
EfficientNetB0,ResNet50,135,175,4.906451612903226,0.02675655362446768,0.09668218869818104,False
MobileNetV2,EfficientNetB0,180,151,2.3685800604229605,0.12379961198387862,0.24759922396775724,False
MobileNetV2,ResNet50,119,130,0.40160642570281124,0.5262607958267174,0.5262607958267174,False
