model_a,model_b,auc_a,auc_b,auc_diff,z,p_raw,p_holm,significant_holm
Custom CNN,MobileNetV2,0.6901287040837211,0.8550918558348457,-0.16496315175112464,-11.680525934431465,0.0,0.0,True
Custom CNN,ResNet50,0.6901287040837211,0.8643396881238583,-0.1742109840401373,-13.045347619662024,0.0,0.0,True
Custom CNN,EfficientNetB0,0.6901287040837211,0.7968814277958166,-0.10675272371209554,-7.294522108194923,2.9976021664879227e-13,1.199040866595169e-12,True
EfficientNetB0,ResNet50,0.7968814277958166,0.8643396881238583,-0.06745826032804177,-6.2205690093222215,4.953550902797588e-10,1.4860652708392763e-09,True
MobileNetV2,EfficientNetB0,0.8550918558348457,0.7968814277958166,0.058210428039029094,4.942300387653769,7.720613728334769e-07,1.5441227456669537e-06,True
MobileNetV2,ResNet50,0.8550918558348457,0.8643396881238583,-0.009247832289012669,-0.9117255957137194,0.3619131864630547,0.3619131864630547,False
