epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5354666113853455,0.8106140494346619,1.3472599983215332,0.6803820729255676,0.8990983366966248,0.9050909280776978
1,0.62342369556427,0.8784441947937012,1.0864803791046143,0.6730345487594604,0.8921169638633728,0.929789125919342
2,0.6469104886054993,0.8916288614273071,1.040623426437378,0.6715649962425232,0.8967595100402832,0.9144910573959351
3,0.6424968242645264,0.8903571367263794,1.0092278718948364,0.6965466737747192,0.90489262342453,0.8750346302986145
4,0.6607818603515625,0.9018253087997437,0.9415766596794128,0.6767082810401917,0.897278904914856,0.9166666865348816
5,0.6760718822479248,0.9098648428916931,0.8914418816566467,0.6906686425209045,0.9068212509155273,0.8676251769065857
6,0.6921500563621521,0.9156273603439331,0.8581851124763489,0.6789125800132751,0.9065853357315063,0.8691425323486328
7,0.7016078233718872,0.9214156270027161,0.8086655735969543,0.6811168193817139,0.9071096181869507,0.872714638710022
8,0.7031841278076172,0.9256442189216614,0.7708640098571777,0.6906686425209045,0.9096873998641968,0.8651160597801208
9,0.7060214281082153,0.9289094805717468,0.7295491695404053,0.6936076283454895,0.907699465751648,0.8728839159011841
10,0.7232030034065247,0.9338417649269104,0.7146868109703064,0.6855253577232361,0.9072824716567993,0.8780562281608582
