arch,mean_auc_drop,median_auc_drop,min_cross_auc,max_cross_auc
Custom CNN,0.21329586332787942,0.17210759902022021,0.4461056249472614,0.5405972780881714
EfficientNetB0,0.11968204511755144,0.12585251381020734,0.5971943065896766,0.7360999356660072
MobileNetV2,0.11556764684742186,0.12680718399564744,0.6405080267143992,0.7124623919653034
ResNet50,0.13815582446484778,0.13756234486735047,0.627451682148306,0.7790912526481164
