model_a,model_b,auc_diff,z,p_raw,p_holm,significant_holm
Custom CNN,MobileNetV2,-0.16496315175112466,-12.35310726284169,0.0,0.0,True
Custom CNN,EfficientNetB0,-0.1067527237120955,-8.357753649437287,0.0,0.0,True
Custom CNN,ResNet50,-0.1742109840401373,-13.986046612391199,0.0,0.0,True
EfficientNetB0,ResNet50,-0.06745826032804178,-8.067605281077197,6.661338147750939e-16,1.9984014443252818e-15,True
MobileNetV2,EfficientNetB0,0.05821042803902916,6.491933459579316,8.474176915740372e-11,1.6948353831480745e-10,True
MobileNetV2,ResNet50,-0.009247832289012626,-1.494593317143903,0.1350206113148027,0.1350206113148027,False
