model,qwk,macro_auc,accuracy,macro_f1
Custom CNN,0.1963862218493877,0.6901287040837211,0.6221570066030815,0.23400984993611035
EfficientNetB0,0.5703605259594966,0.7968814277958166,0.6493030080704328,0.388506442114494
MobileNetV2,0.686027117655635,0.8550918558348457,0.6705796038151137,0.4901492114166956
ResNet50,0.7044586874014107,0.8643396881238583,0.6786500366837858,0.4761801225662863
