epoch,accuracy,loss,val_accuracy,val_loss
0,0.8314294815063477,0.27966707944869995,0.77384352684021,0.6072548627853394
1,0.8295120596885681,0.27931299805641174,0.774414598941803,0.6073850393295288
2,0.8341628313064575,0.2712252736091614,0.7786027193069458,0.603565514087677
3,0.8360394835472107,0.26756420731544495,0.7826004028320312,0.5962240099906921
4,0.8393439650535583,0.2609196901321411,0.7865981459617615,0.5819616317749023
5,0.8441171646118164,0.25021785497665405,0.7824100255966187,0.5974003076553345
6,0.8435460329055786,0.2519068717956543,0.7864077687263489,0.5843127965927124
7,0.8474216461181641,0.24469536542892456,0.7858366370201111,0.5883220434188843
8,0.8515828847885132,0.23829351365566254,0.7915477156639099,0.5775173306465149
9,0.8563152551651001,0.2306351214647293,0.7904055118560791,0.5763146281242371
10,0.8564376831054688,0.23009297251701355,0.7938321232795715,0.5723710060119629
11,0.8579879403114319,0.22452765703201294,0.7974490523338318,0.5651554465293884
12,0.8606396913528442,0.22246357798576355,0.7959261536598206,0.568751871585846
13,0.8623123168945312,0.21769298613071442,0.7949743270874023,0.5755558013916016
14,0.8667183518409729,0.20958904922008514,0.8018275499343872,0.5602720975875854
15,0.8697372674942017,0.2069046050310135,0.8022082448005676,0.5592694282531738
16,0.8673303127288818,0.20997034013271332,0.8056348562240601,0.5642616152763367
17,0.873000979423523,0.20132966339588165,0.8023986220359802,0.5702285766601562
18,0.8738985061645508,0.1995966136455536,0.8046830296516418,0.5574405193328857
19,0.8774885535240173,0.19248425960540771,0.8088711500167847,0.5556122064590454
