epoch,accuracy,loss,val_accuracy,val_loss
0,0.5237434506416321,1.2194615602493286,0.6146963834762573,0.9809894561767578
1,0.6117819547653198,0.8025765419006348,0.6493432521820068,0.9031894207000732
2,0.6466628313064575,0.694181501865387,0.661336362361908,0.8870391845703125
3,0.6730173230171204,0.6238922476768494,0.6735199093818665,0.8472428917884827
4,0.6987189650535583,0.5515443682670593,0.7039786577224731,0.7734490036964417
5,0.7166286110877991,0.515063464641571,0.7026461362838745,0.8111119270324707
6,0.737149178981781,0.4747222065925598,0.7085474729537964,0.7984879016876221
7,0.750163197517395,0.45033949613571167,0.7310108542442322,0.7299818992614746
8,0.7597095370292664,0.430010050535202,0.7485246658325195,0.7020940780639648
9,0.7801892757415771,0.39083248376846313,0.7502379417419434,0.6991263031959534
10,0.7900212407112122,0.37094515562057495,0.755568265914917,0.6760197877883911
11,0.8061765432357788,0.33035898208618164,0.7548067569732666,0.7082027196884155
12,0.8140502572059631,0.3245018720626831,0.7690843343734741,0.6802330613136292
13,0.8269011378288269,0.29647815227508545,0.772320568561554,0.6629687547683716
14,0.8395479917526245,0.268393337726593,0.7782219648361206,0.6911213397979736
15,0.8466465473175049,0.25844547152519226,0.8071578145027161,0.5809638500213623
16,0.8583142757415771,0.235904723405838,0.7881210446357727,0.6386920809745789
17,0.8687581419944763,0.21770904958248138,0.8052541613578796,0.678517758846283
18,0.8728377819061279,0.20295338332653046,0.783171534538269,0.7170355916023254
19,0.8839343786239624,0.19420714676380157,0.8132495880126953,0.6096724271774292
20,0.8913185596466064,0.18086513876914978,0.8004949688911438,0.7010758519172668
21,0.8915225267410278,0.17354334890842438,0.823910117149353,0.6094938516616821
22,0.9006608724594116,0.16191309690475464,0.8159146904945374,0.6209462881088257
23,0.9090649485588074,0.15324392914772034,0.8143917918205261,0.6651897430419922
24,0.9114719033241272,0.14769357442855835,0.8223872184753418,0.6370624303817749
25,0.9163674712181091,0.14200323820114136,0.8366647362709045,0.5993744730949402
26,0.92154860496521,0.13037890195846558,0.8332381248474121,0.5788561701774597
27,0.925995409488678,0.12107913941144943,0.8300018906593323,0.6424887776374817
28,0.9301158785820007,0.11721207946538925,0.8324766755104065,0.6177079081535339
29,0.9312989711761475,0.11157247424125671,0.8572244644165039,0.5675009489059448
