epoch,accuracy,loss,val_accuracy,val_loss
0,0.46337077021598816,1.4457359313964844,0.5739070177078247,1.2013771533966064
1,0.5286272764205933,1.1586765050888062,0.5978487133979797,1.1015310287475586
2,0.552571177482605,1.0660691261291504,0.604094386100769,1.06510329246521
3,0.5742819905281067,0.9830679297447205,0.5510062575340271,1.1934019327163696
4,0.5711184144020081,0.9852508902549744,0.5270645618438721,1.228472352027893
5,0.5870603322982788,0.9276883006095886,0.5992366671562195,1.0228722095489502
6,0.5992804169654846,0.8776247501373291,0.6370576024055481,0.9553523659706116
7,0.6044290065765381,0.8703829050064087,0.6190145611763,0.9983881115913391
8,0.6111903786659241,0.8458309769630432,0.6120749711990356,1.0300406217575073
9,0.6153464317321777,0.7941364645957947,0.5936849117279053,1.033073902130127
0,0.4871906340122223,1.9227849245071411,0.6134628653526306,1.0295816659927368
1,0.47956082224845886,1.1604015827178955,0.604094386100769,1.092157244682312
2,0.5301160216331482,1.0451515913009644,0.6096460819244385,1.074607014656067
3,0.5594565868377686,0.9324482083320618,0.6065232753753662,1.0607141256332397
4,0.5853855013847351,0.868171215057373,0.6200554966926575,1.0459314584732056
5,0.6040568351745605,0.8163918852806091,0.6138098835945129,1.0638818740844727
6,0.6246510744094849,0.7563547492027283,0.6183205842971802,1.0437986850738525
7,0.6356925964355469,0.732295572757721,0.5909090638160706,1.121376633644104
8,0.6489672064781189,0.6918941140174866,0.6370576024055481,0.9873571991920471
9,0.660753071308136,0.6712260842323303,0.6446911692619324,0.9438243508338928
10,0.6711122393608093,0.6353227496147156,0.6335877776145935,0.9851023554801941
11,0.6783077716827393,0.6086368560791016,0.6460791230201721,0.9575072526931763
12,0.6904038190841675,0.5881807804107666,0.6648160815238953,0.897901713848114
13,0.693257212638855,0.5652589797973633,0.6679389476776123,0.9016274809837341
14,0.7056013941764832,0.5559442043304443,0.6759194731712341,0.9063034653663635
15,0.7091371417045593,0.5334352850914001,0.6821651458740234,0.8526549339294434
16,0.7144097685813904,0.5166126489639282,0.6800832748413086,0.8782563209533691
17,0.7224117517471313,0.5022367238998413,0.6818181872367859,0.8624066114425659
18,0.7278704643249512,0.48658183217048645,0.6620402336120605,0.9113190770149231
19,0.7365548014640808,0.47383227944374084,0.679736316204071,0.861775815486908
20,0.7420755624771118,0.4581555426120758,0.6887578368186951,0.846381425857544
21,0.7448049187660217,0.4456993341445923,0.6832060813903809,0.8783982396125793
22,0.7461695671081543,0.4397798180580139,0.6845940351486206,0.8631095290184021
23,0.7578313946723938,0.417262464761734,0.685634970664978,0.8676509857177734
24,0.7652130722999573,0.4165955185890198,0.6589174270629883,0.9308318495750427
25,0.7629799842834473,0.4002804160118103,0.66759192943573,0.9084441065788269
26,0.7717883586883545,0.3878036439418793,0.6832060813903809,0.9009004235267639
27,0.7729049324989319,0.3855462372303009,0.670714795589447,0.9331979751586914
