epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6202603578567505,0.6521085500717163,0.7045107483863831,0.6525821685791016,0.6918178796768188,0.6395933032035828
1,0.6537445783615112,0.6964983344078064,0.6358312964439392,0.6606914401054382,0.6988517642021179,0.6408056020736694
2,0.6564798951148987,0.7025889158248901,0.6309456825256348,0.6431924700737,0.6941749453544617,0.6436038017272949
3,0.6708168387413025,0.7154557704925537,0.6231194734573364,0.6427657008171082,0.6952613592147827,0.6382753252983093
4,0.6643086075782776,0.7138908505439758,0.6245471835136414,0.6632522344589233,0.6997610926628113,0.6382014751434326
5,0.6669496297836304,0.7143585681915283,0.6236103773117065,0.6444728970527649,0.6927947402000427,0.6390264630317688
6,0.6703452467918396,0.7233991622924805,0.6162862777709961,0.6478873491287231,0.7057050466537476,0.6323150992393494
7,0.6706281900405884,0.723595142364502,0.6172242760658264,0.6551429629325867,0.707209587097168,0.6257156729698181
8,0.6723259687423706,0.7272440195083618,0.6124349236488342,0.6312419772148132,0.6919458508491516,0.6338656544685364
9,0.6770420670509338,0.7259772419929504,0.6149026155471802,0.666239857673645,0.7150751948356628,0.6263951063156128
