epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7632380723953247,0.8348221778869629,0.5265082120895386,0.862666666507721,0.9381246566772461,0.3363047242164612
1,0.8220000267028809,0.9035046100616455,0.39428427815437317,0.8759999871253967,0.9515044093132019,0.304674357175827
2,0.8274285793304443,0.9083499312400818,0.38372376561164856,0.7004444599151611,0.7813600897789001,0.5846738219261169
3,0.8435238003730774,0.9229034185409546,0.3521353304386139,0.88355553150177,0.9516307711601257,0.28931480646133423
4,0.8458095192909241,0.9255384802818298,0.34697866439819336,0.851111114025116,0.929984450340271,0.3459910452365875
5,0.8628571629524231,0.9355553984642029,0.32337987422943115,0.88355553150177,0.9547688961029053,0.28546908497810364
6,0.8620952367782593,0.9381740689277649,0.3134145736694336,0.8875555396080017,0.9565514922142029,0.2865534722805023
7,0.8628571629524231,0.9382790923118591,0.31480270624160767,0.8991110920906067,0.9632055759429932,0.2493777722120285
8,0.8647618889808655,0.9421015977859497,0.3041311502456665,0.8964444398880005,0.9618164896965027,0.2500271201133728
9,0.868571400642395,0.9439579844474792,0.3029630184173584,0.8871111273765564,0.9577114582061768,0.2686111629009247
