epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6711415648460388,0.7166872620582581,0.6793352961540222,0.8191577196121216,0.8854639530181885,0.5030393600463867
1,0.7006953954696655,0.7598394751548767,0.5857510566711426,0.7109826803207397,0.7679728865623474,0.5825017690658569
2,0.7092911005020142,0.7736346125602722,0.5682451128959656,0.6626754999160767,0.7241034507751465,0.6126735210418701
3,0.7138304114341736,0.7836793065071106,0.5543793439865112,0.7844756245613098,0.8545189499855042,0.4938482940196991
4,0.7296696901321411,0.798670768737793,0.5425913333892822,0.6218001842498779,0.6753925681114197,0.6660330891609192
5,0.723971426486969,0.7919920682907104,0.5495114326477051,0.6147812008857727,0.6362705230712891,0.7192022204399109
6,0.7346919178962708,0.8039596080780029,0.5398932695388794,0.605697751045227,0.6634992361068726,0.6974390149116516
7,0.725806474685669,0.7921785712242126,0.5418579578399658,0.6626754999160767,0.6897012591362,0.6529710292816162
8,0.7330500483512878,0.8050868511199951,0.5336644649505615,0.7658959627151489,0.853499174118042,0.4791705310344696
9,0.727351725101471,0.7969642877578735,0.5387167930603027,0.7469033598899841,0.8149767518043518,0.5500264167785645
