epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7656190395355225,0.8481503129005432,0.4824877083301544,0.8391110897064209,0.9172717928886414,0.37817010283470154
1,0.8273333311080933,0.9095394015312195,0.380996435880661,0.8031111359596252,0.8835847973823547,0.4297313392162323
2,0.8386666774749756,0.9191899299621582,0.36116909980773926,0.8808888792991638,0.9470212459564209,0.3141974210739136
3,0.8490476012229919,0.9293326735496521,0.3376311957836151,0.8573333621025085,0.9338030219078064,0.33330538868904114
4,0.8607618808746338,0.93690025806427,0.31890079379081726,0.8693333268165588,0.9412665367126465,0.3216283917427063
5,0.8609523773193359,0.9389026165008545,0.3140580356121063,0.8822222352027893,0.9517240524291992,0.29720768332481384
6,0.866190493106842,0.9419013857841492,0.30865657329559326,0.895111083984375,0.9582685232162476,0.2659006118774414
7,0.8719047904014587,0.9445724487304688,0.2996387481689453,0.9044444561004639,0.9653499722480774,0.2451663464307785
8,0.8690476417541504,0.9448831677436829,0.2988629639148712,0.9071111083030701,0.9660381078720093,0.24940042197704315
9,0.872952401638031,0.9462043642997742,0.2954818308353424,0.8973333239555359,0.960430920124054,0.2596403658390045
