epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6638014316558838,0.7156814932823181,0.6630694270133972,0.7898430824279785,0.8585290312767029,0.4944762885570526
1,0.7080355286598206,0.7650713920593262,0.5907987356185913,0.8154417872428894,0.8962833285331726,0.4563544690608978
2,0.7027235627174377,0.7642104625701904,0.5722689628601074,0.7159372568130493,0.7735908627510071,0.5764997005462646
3,0.7109329700469971,0.7817444801330566,0.5559783577919006,0.7947976589202881,0.8674510717391968,0.4695451259613037
4,0.7224261164665222,0.7926599383354187,0.5511440634727478,0.691990077495575,0.76739102602005,0.5791597962379456
5,0.7207842469215393,0.7867277264595032,0.5576007962226868,0.7419487833976746,0.8240762948989868,0.5171802639961243
6,0.7256132960319519,0.7948561310768127,0.5472240447998047,0.7113955616950989,0.7945430278778076,0.5486817359924316
7,0.7238748073577881,0.7920718789100647,0.5479670763015747,0.743187427520752,0.8167371153831482,0.5271654725074768
8,0.7246474623680115,0.7995702028274536,0.5402635931968689,0.7972750067710876,0.8910356760025024,0.42384910583496094
9,0.7274483442306519,0.7977169752120972,0.544326901435852,0.7861271500587463,0.8680120706558228,0.4724718928337097
