epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.765999972820282,0.8434805870056152,0.4998551905155182,0.855555534362793,0.9290201663970947,0.35155731439590454
1,0.8255237936973572,0.9058012366294861,0.38964733481407166,0.8168888688087463,0.889657199382782,0.4199158251285553
2,0.8420000076293945,0.9216142892837524,0.35764017701148987,0.8391110897064209,0.9190245866775513,0.3632098138332367
3,0.8511428833007812,0.9277022480964661,0.34225717186927795,0.8817777633666992,0.9501489400863647,0.2881585955619812
4,0.8515238165855408,0.9291974902153015,0.3384072780609131,0.8448888659477234,0.9165393710136414,0.36956480145454407
5,0.8591428399085999,0.9349936842918396,0.32677900791168213,0.8644444346427917,0.9373127222061157,0.3312591016292572
6,0.8596190214157104,0.9363439083099365,0.32257676124572754,0.8799999952316284,0.9501762986183167,0.2859828472137451
7,0.8614285588264465,0.9394877552986145,0.31445178389549255,0.8488888740539551,0.9249828457832336,0.35129252076148987
8,0.8655238151550293,0.9411377906799316,0.30999720096588135,0.8706666827201843,0.93893963098526,0.31777840852737427
9,0.8671428561210632,0.9412864446640015,0.3111611306667328,0.8004444241523743,0.8767868280410767,0.4663395583629608
