epoch,accuracy,loss,val_accuracy,val_loss
0,0.6007339954376221,0.6677618026733398,0.17010734975337982,0.8479450345039368
1,0.6270040273666382,0.6507412791252136,0.8967795372009277,0.3526208698749542
2,0.6206297278404236,0.6312460899353027,0.907101571559906,0.3349069058895111
3,0.647286057472229,0.6269403696060181,0.8319570422172546,0.4408383369445801
4,0.6264245510101318,0.6297398209571838,0.7237820029258728,0.5760157108306885
5,0.6387869715690613,0.6268786191940308,0.092898428440094,2.5916364192962646
6,0.6521151065826416,0.624832808971405,0.9066886901855469,0.28127655386924744
7,0.6246861219406128,0.6200329065322876,0.9075144529342651,0.3083307147026062
8,0.6483484506607056,0.6115770936012268,0.10982658714056015,1.4881445169448853
9,0.6603245139122009,0.6148735284805298,0.907101571559906,0.2964184284210205
10,0.6518253684043884,0.6090909838676453,0.092898428440094,2.4372642040252686
11,0.6483484506607056,0.6051440238952637,0.907101571559906,0.3956991136074066
12,0.6527912020683289,0.6037293672561646,0.8125516176223755,0.38792866468429565
13,0.6662159562110901,0.6010118722915649,0.8608587980270386,0.3469817042350769
14,0.658682644367218,0.5977194309234619,0.8984310626983643,0.2960810959339142
