epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5461233854293823,0.5547542572021484,0.7037935853004456,0.5279555916786194,0.5489262342453003,0.6894172430038452
1,0.5785700678825378,0.6038631796836853,0.6795104742050171,0.487836092710495,0.5157016515731812,0.7264742255210876
2,0.5909262299537659,0.6195159554481506,0.6740614175796509,0.5591122508049011,0.570111095905304,0.7258248925209045
3,0.6162987947463989,0.6379303932189941,0.6675261855125427,0.5352112650871277,0.5541474223136902,0.7035355567932129
4,0.6138464212417603,0.6445062756538391,0.6635395884513855,0.532223641872406,0.5779861807823181,0.7955315113067627
5,0.607809841632843,0.6417565941810608,0.664225697517395,0.542466938495636,0.5716209411621094,0.7165361046791077
6,0.6093189716339111,0.6402895450592041,0.6649759411811829,0.5616730451583862,0.5797061920166016,0.7197888493537903
7,0.6202603578567505,0.6552698016166687,0.658263087272644,0.467776358127594,0.5362037420272827,0.909696638584137
8,0.6277117729187012,0.6650688648223877,0.6543388962745667,0.4950917661190033,0.5002293586730957,0.8257902264595032
9,0.6313903331756592,0.6699449419975281,0.651185154914856,0.5369184613227844,0.5649237036705017,0.8766669034957886
10,0.6427088975906372,0.6802574992179871,0.6439891457557678,0.4669227600097656,0.4839358329772949,1.1924315690994263
11,0.6401622295379639,0.6768870949745178,0.6463461518287659,0.6192914843559265,0.640464186668396,0.6656864285469055
12,0.6414827108383179,0.684356689453125,0.6414557695388794,0.5834400057792664,0.6157979369163513,0.7155299186706543
13,0.6448783278465271,0.6911733150482178,0.6374598741531372,0.6346564292907715,0.6685309410095215,0.659528911113739
14,0.6447839736938477,0.6926419734954834,0.6359744668006897,0.5676482915878296,0.589527428150177,0.6894309520721436
15,0.653367280960083,0.6990995407104492,0.6331663727760315,0.4780196249485016,0.4818144142627716,1.0796105861663818
16,0.6539332270622253,0.7003288865089417,0.6310831904411316,0.6316688060760498,0.6716386675834656,0.6504144072532654
17,0.6518581509590149,0.7010193467140198,0.6319825053215027,0.5582586526870728,0.6266056895256042,0.8881168961524963
18,0.652707040309906,0.7057119607925415,0.6272825002670288,0.48442167043685913,0.5013979077339172,0.8479639291763306
19,0.6610073447227478,0.7072415351867676,0.6282868385314941,0.5428937077522278,0.5798943042755127,0.70773845911026
20,0.6555367112159729,0.7059677839279175,0.6266329884529114,0.6214255094528198,0.6631393432617188,0.6691902279853821
21,0.6602528095245361,0.7118010520935059,0.6238486170768738,0.6090482473373413,0.6672026515007019,0.6748741865158081
22,0.6612903475761414,0.7110037207603455,0.6253681182861328,0.5241143703460693,0.5365688800811768,0.7321005463600159
23,0.6647802591323853,0.7134783267974854,0.6235069036483765,0.48911651968955994,0.5135688185691833,1.0113605260849
