epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6239388585090637,0.6600657105445862,0.6619747281074524,0.6483141183853149,0.6933509111404419,0.6352503895759583
1,0.6469534039497375,0.6906511187553406,0.6384488344192505,0.6513017416000366,0.7034618258476257,0.6282572150230408
2,0.6516695022583008,0.6969211101531982,0.6335044503211975,0.6333760023117065,0.6702414155006409,0.655810534954071
3,0.6585549712181091,0.7096453309059143,0.6253894567489624,0.6568502187728882,0.7017796039581299,0.6314857602119446
4,0.6545934677124023,0.7081753015518188,0.6265421509742737,0.6495945453643799,0.6925430297851562,0.6466807723045349
5,0.6597811579704285,0.7112513780593872,0.624417781829834,0.6222791075706482,0.663343608379364,0.6558576822280884
6,0.6636483669281006,0.7140949964523315,0.6229891180992126,0.652155339717865,0.7038681507110596,0.6301221251487732
7,0.6634597182273865,0.7178977131843567,0.6201926469802856,0.6525821685791016,0.6975833773612976,0.6352319121360779
8,0.6606300473213196,0.7160919904708862,0.6198195219039917,0.6461800932884216,0.6904033422470093,0.6452704071998596
9,0.6686474084854126,0.7190850973129272,0.6197746396064758,0.6542893648147583,0.6921250224113464,0.637323796749115
