epoch,loss,accuracy,val_loss,val_accuracy
0,1.3451,0.4724,1.1291,0.5697
1,1.0654,0.5426,1.1252,0.5351
2,1.0115,0.5689,1.3024,0.5015
3,0.9677,0.5817,1.0993,0.5762
4,0.8999,0.5920,1.0774,0.5759
5,0.8816,0.6003,0.9467,0.6413
6,0.8265,0.6116,1.1287,0.5624
7,0.8398,0.6119,1.0569,0.5872
8,0.8143,0.6186,1.0886,0.5779
9,0.7775,0.6308,1.1732,0.5424
