pair,auc_diff,z,p_value,holm_alpha,significant_holm
Custom CNN vs MobileNetV2,-0.13080864683495305,-15.9312726631666,0.0,0.008333333333333333,True
Custom CNN vs EfficientNetB0,-0.1527753324085158,-18.688784362370733,0.0,0.01,True
Custom CNN vs ResNet50,-0.14363524913816483,-17.700035041229324,0.0,0.0125,True
MobileNetV2 vs EfficientNetB0,-0.02196668557356272,-4.287257342923272,1.8089268877252707e-05,0.016666666666666666,True
EfficientNetB0 vs ResNet50,0.009140083270350948,2.2871486528358,0.022187147899623838,0.025,True
MobileNetV2 vs ResNet50,-0.012826602303211773,-2.244788204796067,0.024781732344969054,0.05,True
