pair,custom_cnn_auc,mobilenetv2_auc,auc_diff,z,p_value,efficientnetb0_auc,resnet50_auc,holm_alpha,significant_holm
Custom CNN vs MobileNetV2,0.7724412498909224,0.9032498967258756,-0.13080864683495322,-12.105934339015493,0.0,,,0.008333333333333333,True
Custom CNN vs EfficientNetB0,0.7724412498909224,,-0.1527753324085159,-15.522360454427224,0.0,0.9252165822994383,,0.01,True
Custom CNN vs ResNet50,0.7724412498909224,,-0.14363524913816492,-13.808093682740704,0.0,,0.9160764990290873,0.0125,True
MobileNetV2 vs EfficientNetB0,,0.9032498967258756,-0.021966685573562666,-2.961901453675141,0.003057456235438183,0.9252165822994383,,0.016666666666666666,True
MobileNetV2 vs ResNet50,,0.9032498967258756,-0.01282660230321168,-1.574798852776929,0.1153028813241157,,0.9160764990290873,0.025,False
EfficientNetB0 vs ResNet50,,,0.009140083270350985,1.3410189076714987,0.17991431383638634,0.9252165822994383,0.9160764990290873,0.05,False
