model,source,n,accuracy,macro_f1,macro_auc
Custom CNN,isic2019,2091,0.422285987565758,0.30970390654277985,0.6976073863885683
Custom CNN,ham10000,1444,0.6059556786703602,0.3698666253840792,0.8486104332025589
MobileNetV2,isic2019,2091,0.667144906743185,0.49788312717847466,0.8750581598757964
MobileNetV2,ham10000,1444,0.7929362880886427,0.633238350619909,0.9283570348654283
EfficientNetB0,isic2019,2091,0.6848397895743663,0.5291328730201309,0.9027032748477511
EfficientNetB0,ham10000,1444,0.8268698060941828,0.720752595811044,0.9468226732542769
ResNet50,isic2019,2091,0.7164036346245816,0.5177655871567591,0.8813605065798481
ResNet50,ham10000,1444,0.8296398891966759,0.6810492574069483,0.9480415138454686
