model,accuracy,macro_f1
Custom CNN,0.4973125884016973,0.3529137185412809
MobileNetV2,0.7185289957567186,0.5740658438409342
EfficientNetB0,0.7428571428571429,0.6201354515987477
ResNet50,0.7626591230551627,0.6042996489940698
