epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.4227166175842285,0.779770016670227,1.7322696447372437,0.5018181800842285,0.8121822476387024,1.2134407758712769
1,0.4141295850276947,0.7711460590362549,1.549940824508667,0.5054545402526855,0.8243066072463989,1.1750544309616089
2,0.38641685247421265,0.7496115565299988,1.4328582286834717,0.5199999809265137,0.8329822421073914,1.1391100883483887
3,0.3758782148361206,0.7468206882476807,1.356704592704773,0.503636360168457,0.8324081897735596,1.128262996673584
4,0.36182668805122375,0.7363714575767517,1.2857121229171753,0.4909090995788574,0.8315286040306091,1.1279726028442383
5,0.37470725178718567,0.7505033612251282,1.2414209842681885,0.4981818199157715,0.8300455212593079,1.1298712491989136
6,0.3477751612663269,0.7425616383552551,1.2277500629425049,0.4981818199157715,0.8284057974815369,1.132163166999817
7,0.34972676634788513,0.7352006435394287,1.2410470247268677,0.4981818199157715,0.8280259966850281,1.126481056213379
8,0.3766588568687439,0.7590926885604858,1.1395047903060913,0.49454545974731445,0.8267365097999573,1.1285611391067505
9,0.39149102568626404,0.760487973690033,1.0989303588867188,0.48363634943962097,0.8267524242401123,1.1269195079803467
