epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.2228727489709854,0.6511660218238831,1.3562748432159424,0.4654545485973358,0.8007644414901733,1.1937519311904907
1,0.284153014421463,0.6947407126426697,1.1842314004898071,0.40727272629737854,0.7928987741470337,1.20037043094635
2,0.3247462809085846,0.7307065725326538,1.0927128791809082,0.45818182826042175,0.8138979077339172,1.1576789617538452
3,0.3450429439544678,0.7566524744033813,1.0443683862686157,0.5090909004211426,0.8197087049484253,1.1506664752960205
4,0.3875878155231476,0.7792131900787354,0.9835781455039978,0.4981818199157715,0.8202219009399414,1.1480714082717896
5,0.4090554118156433,0.7939146161079407,0.9435460567474365,0.5145454406738281,0.8258702754974365,1.1376808881759644
6,0.4352068603038788,0.8032092452049255,0.9080805778503418,0.5,0.8268681764602661,1.132455825805664
7,0.4523809552192688,0.8040151596069336,0.8670767545700073,0.46909090876579285,0.8106433153152466,1.1720174551010132
8,0.44418424367904663,0.8101841807365417,0.8517722487449646,0.49636363983154297,0.8212792873382568,1.1395986080169678
9,0.46643248200416565,0.8216027021408081,0.8045037984848022,0.5145454406738281,0.8269488215446472,1.126823902130127
10,0.4769711196422577,0.8277967572212219,0.7577911615371704,0.46727272868156433,0.8187251091003418,1.129658579826355
11,0.4879000782966614,0.8344222903251648,0.7670491933822632,0.503636360168457,0.825252115726471,1.1288658380508423
12,0.5003902912139893,0.8426007628440857,0.7290427684783936,0.48181816935539246,0.8221545815467834,1.1347033977508545
