epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5727663040161133,0.8433015942573547,1.3942090272903442,0.5865209698677063,0.8730030059814453,0.9829829931259155
1,0.644947350025177,0.9072677493095398,1.0624589920043945,0.693989098072052,0.9189177751541138,0.7868661880493164
2,0.6812329292297363,0.9206398129463196,0.996374249458313,0.6448087692260742,0.9199487566947937,0.792004406452179
3,0.7034724950790405,0.9318854212760925,0.937446653842926,0.6375227570533752,0.9078744649887085,0.8511686325073242
4,0.7046430110931396,0.9332941770553589,0.9312441945075989,0.7030965685844421,0.9350355267524719,0.7198746204376221
5,0.7147873640060425,0.937539279460907,0.915202796459198,0.7012750506401062,0.9359424710273743,0.7107361555099487
6,0.7241513729095459,0.9376159906387329,0.887782633304596,0.7431694269180298,0.9388830065727234,0.694233238697052
7,0.7186890244483948,0.9363166689872742,0.9075990319252014,0.6757741570472717,0.925883948802948,0.7851126790046692
8,0.7163480520248413,0.9386505484580994,0.917012095451355,0.7285974621772766,0.9376084804534912,0.7008984684944153
9,0.7186890244483948,0.9370420575141907,0.862399160861969,0.6757741570472717,0.9239015579223633,0.7793782353401184
