epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5786188244819641,0.8560913801193237,1.3614544868469238,0.686703085899353,0.9234354496002197,0.794396698474884
1,0.6589933633804321,0.9146662354469299,1.0449299812316895,0.6630236506462097,0.9221207499504089,0.7848870754241943
2,0.6625048518180847,0.9156498908996582,1.0227059125900269,0.6757741570472717,0.9152147769927979,0.8029648065567017
3,0.7011314630508423,0.9328327178955078,0.9509018063545227,0.6593806743621826,0.9241675138473511,0.764682412147522
4,0.7108857035636902,0.9355440139770508,0.9281407594680786,0.6357012987136841,0.9184201955795288,0.7940477132797241
5,0.701521635055542,0.9338270425796509,0.9423794746398926,0.6284152865409851,0.8968782424926758,0.9095126390457153
6,0.7241513729095459,0.9405760765075684,0.8696741461753845,0.693989098072052,0.9351304769515991,0.7109832763671875
7,0.7190791964530945,0.9386482834815979,0.8772057294845581,0.7158470153808594,0.9343200325965881,0.7181205153465271
8,0.7245415449142456,0.9417620897293091,0.8603339195251465,0.7194899916648865,0.9368805289268494,0.705910325050354
9,0.7405384182929993,0.9443224668502808,0.8501130938529968,0.6848816275596619,0.9322460293769836,0.7312482595443726
