arch,mmd_single_source_avg,mmd_pooled,reduction,pct_reduction
Custom CNN,0.35863882541334713,0.28674896537101524,0.07188986004233189,20.0
EfficientNetB0,0.18303741495381673,0.16611764713416577,0.01691976781965096,9.2
MobileNetV2,0.17661582003995283,0.15101841867853924,0.025597401361413585,14.5
ResNet50,0.20932613595552646,0.20811695531462468,0.0012091806409017802,0.6
