arch,model_type,mmd_squared,mmd
Custom CNN,pooled,0.08222496914134769,0.28674896537101524
MobileNetV2,pooled,0.022806562780166573,0.15101841867853924
EfficientNetB0,pooled,0.02759507268939121,0.16611764713416577
ResNet50,pooled,0.04331266708942949,0.20811695531462468
