arch,through_model_trained_on,mmd_squared,mmd
Custom CNN,isic,0.13786813192411174,0.3713059815355952
Custom CNN,ham,0.1196963959520696,0.345971669291099
MobileNetV2,isic,0.025368265595021366,0.15927418370539956
MobileNetV2,ham,0.037619494883268434,0.1939574563745061
EfficientNetB0,isic,0.03395917682130567,0.18428015851226542
EfficientNetB0,ham,0.03304930254774985,0.18179467139536803
ResNet50,isic,0.04430341951359229,0.21048377494142462
ResNet50,ham,0.04333412313059415,0.2081684969696283
