arch,source,single_source_auc,pooled_auc,gap
custom,ham,0.843374,0.84861,0.005236000000000018
custom,isic,0.717585,0.697607,-0.01997800000000005
eff,ham,0.937786,0.946823,0.009036999999999962
eff,isic,0.875883,0.902703,0.026820000000000066
mob,ham,0.891928,0.928357,0.036428999999999934
mob,isic,0.864629,0.875058,0.010429000000000022
res,ham,0.95,0.948042,-0.0019579999999999043
res,isic,0.881113,0.881361,0.00024799999999991496
