epoch,accuracy,loss,val_accuracy,val_loss
0,0.481072336435318,1.394337773323059,0.3601374626159668,1.5262972116470337
1,0.56488436460495,1.042333722114563,0.5896907448768616,1.0653386116027832
2,0.5840330123901367,0.9453631043434143,0.6116838455200195,0.9571537375450134
3,0.599941074848175,0.9002684950828552,0.6769759654998779,0.7869957685470581
4,0.6428045630455017,0.8393147587776184,0.6577319502830505,0.8328184485435486
5,0.6335248351097107,0.7765080332756042,0.5512027740478516,1.1112936735153198
6,0.65900719165802,0.7639744281768799,0.5917525887489319,1.016965389251709
7,0.649432897567749,0.7227445840835571,0.6769759654998779,0.7870402336120605
8,0.6746206879615784,0.706904947757721,0.6646047830581665,0.8357084393501282
9,0.6746206879615784,0.6697395443916321,0.5835051536560059,1.0517109632492065
0,0.5046398639678955,2.599656581878662,0.4563573896884918,1.4911737442016602
1,0.49491825699806213,1.5844577550888062,0.5278350710868835,1.2561707496643066
2,0.5067020058631897,1.2412984371185303,0.5374570488929749,1.1960607767105103
3,0.5258506536483765,1.0942902565002441,0.5573883056640625,1.1399822235107422
4,0.5504492521286011,0.9965869188308716,0.5718213319778442,1.1216018199920654
5,0.5815289616584778,0.9148000478744507,0.5896907448768616,1.068908452987671
6,0.5969951152801514,0.8553007245063782,0.6006872653961182,1.0473277568817139
7,0.6067167520523071,0.8294339179992676,0.6219931244850159,0.9971845149993896
8,0.6218883395195007,0.7690586447715759,0.6309278607368469,0.9692960977554321
9,0.6433936953544617,0.7389553189277649,0.6336769461631775,0.9637234807014465
10,0.6529680490493774,0.6951815485954285,0.6474226713180542,0.9417803287506104
11,0.65871262550354,0.6886073350906372,0.6481099724769592,0.9337736368179321
12,0.6712328791618347,0.6174001693725586,0.6611683964729309,0.8936183452606201
13,0.6827220320701599,0.5953962206840515,0.6728522181510925,0.872227132320404
14,0.6984828114509583,0.5899558663368225,0.6756013631820679,0.8525009155273438
15,0.7151274085044861,0.5383237600326538,0.6804123520851135,0.8424816727638245
16,0.7133598327636719,0.5349234938621521,0.6872852444648743,0.8305863738059998
17,0.7143909335136414,0.5344758033752441,0.6920962333679199,0.8242555856704712
18,0.7238179445266724,0.5125012397766113,0.6934707760810852,0.8163344264030457
19,0.7260273694992065,0.4909866750240326,0.6900343894958496,0.8253396153450012
20,0.7298571467399597,0.4732811748981476,0.7037800550460815,0.7900015711784363
21,0.7453233003616333,0.4461500942707062,0.7037800550460815,0.7919119000434875
22,0.7515097856521606,0.4470636248588562,0.7030927538871765,0.7737009525299072
23,0.748563826084137,0.4273485541343689,0.7079038023948669,0.7780678868293762
24,0.7560759782791138,0.4216039478778839,0.7140893340110779,0.7566264271736145
25,0.7588746547698975,0.39751946926116943,0.7147766351699829,0.7508374452590942
26,0.7721313834190369,0.4003686308860779,0.7127147912979126,0.769635021686554
27,0.7656503319740295,0.3822035789489746,0.7147766351699829,0.7628799676895142
28,0.7778759598731995,0.3727750778198242,0.7168384790420532,0.75587397813797
29,0.7775813937187195,0.3668413758277893,0.7189003229141235,0.7625693082809448
30,0.7834732532501221,0.35635602474212646,0.7250859141349792,0.740563154220581
31,0.7889232635498047,0.35774752497673035,0.7230240702629089,0.7392691969871521
32,0.7971718907356262,0.33851486444473267,0.7257732152938843,0.7431588768959045
33,0.7924584150314331,0.3288646936416626,0.7216494679450989,0.743666410446167
34,0.7982029914855957,0.32847702503204346,0.7285223603248596,0.7320914268493652
35,0.8049786686897278,0.3090204894542694,0.7264604568481445,0.7243044972419739
36,0.807040810585022,0.31118080019950867,0.7292096018791199,0.7237617373466492
37,0.8095448613166809,0.2893332839012146,0.7353951930999756,0.7096475958824158
38,0.8104286193847656,0.29219165444374084,0.7353951930999756,0.7219105958938599
39,0.8135218620300293,0.2913047969341278,0.7319587469100952,0.7338552474975586
40,0.8226543068885803,0.27558302879333496,0.7305842041969299,0.722521185874939
41,0.8185299634933472,0.2800471782684326,0.7395188808441162,0.7043954730033875
42,0.8228015899658203,0.26931649446487427,0.7264604568481445,0.7563168406486511
43,0.8264840245246887,0.24958649277687073,0.7353951930999756,0.7264406085014343
44,0.8281042575836182,0.25953665375709534,0.7395188808441162,0.7286297082901001
45,0.835321843624115,0.25172939896583557,0.7347078919410706,0.7341524362564087
46,0.8326705098152161,0.2534022927284241,0.7340205907821655,0.7488548159599304
47,0.8407718539237976,0.24141091108322144,0.7353951930999756,0.7481719851493835
48,0.8384150862693787,0.2453879714012146,0.7381443381309509,0.7427014708518982
