epoch,accuracy,loss,val_accuracy,val_loss
0,0.45765209197998047,1.4650486707687378,0.5615120530128479,1.2049106359481812
1,0.5800559520721436,1.0336153507232666,0.5841924548149109,1.089322566986084
2,0.6067167520523071,0.9878116846084595,0.6130584478378296,1.000219702720642
3,0.6271910667419434,0.8806398510932922,0.6116838455200195,1.0109162330627441
4,0.6433936953544617,0.8250668048858643,0.6054982542991638,1.0229835510253906
5,0.6572396755218506,0.8026220798492432,0.5848796963691711,1.0869659185409546
6,0.6525261402130127,0.7543857097625732,0.6852233409881592,0.797039270401001
7,0.6753572225570679,0.7070661783218384,0.6371133923530579,0.9649139642715454
8,0.6899396181106567,0.6766467690467834,0.5367697477340698,1.246529221534729
9,0.6606274843215942,0.7055701613426208,0.5903779864311218,1.088798999786377
0,0.4292237460613251,1.6650681495666504,0.6776632070541382,0.8704461455345154
1,0.48239800333976746,1.153416633605957,0.6900343894958496,0.8344306349754333
2,0.5298276543617249,1.0108909606933594,0.6783505082130432,0.9203529357910156
3,0.5504492521286011,0.936224102973938,0.6680412292480469,0.9511809945106506
4,0.5784357190132141,0.8505449295043945,0.6666666865348816,0.9618014693260193
5,0.6126086115837097,0.7852198481559753,0.6783505082130432,0.9252516627311707
6,0.6395639777183533,0.7063669562339783,0.6742268204689026,0.9205090999603271
7,0.6581234335899353,0.673040509223938,0.6900343894958496,0.8905197978019714
8,0.6545882821083069,0.6584329009056091,0.6879724860191345,0.8699133992195129
