model_a,model_b,a_only_correct,b_only_correct,statistic,p_raw,p_holm,significant_holm
CustomCNN,EfficientNetB0,418,727,82.85065502183406,8.849292120232642e-20,3.5397168480930567e-19,True
CustomCNN,MobileNetV2,341,665,103.70675944333996,2.345895085340116e-24,1.172947542670058e-23,True
CustomCNN,ResNet50,303,694,152.55767301905718,4.785680534380424e-35,2.8714083206282547e-34,True
EfficientNetB0,MobileNetV2,223,238,0.42516268980477223,0.5143721392842571,0.5143721392842571,False
EfficientNetB0,ResNet50,176,258,15.117511520737327,0.00010102184024707108,0.0003030655207412132,True
MobileNetV2,ResNet50,151,218,11.804878048780488,0.0005907573118657002,0.0011815146237314003,True
