epoch,accuracy,loss,val_accuracy,val_loss
0,0.7689471244812012,0.4832679331302643,0.7891660928726196,0.4385424852371216
1,0.7897698283195496,0.4441598653793335,0.7962936758995056,0.4360850751399994
2,0.7966365814208984,0.43201982975006104,0.7938702702522278,0.4186486303806305
3,0.8005785942077637,0.42685484886169434,0.8028510212898254,0.41471511125564575
4,0.8020727634429932,0.42083799839019775,0.8066999316215515,0.4197593927383423
5,0.8030264377593994,0.4169500768184662,0.8041340112686157,0.4104069769382477
6,0.8065869808197021,0.41403576731681824,0.78816819190979,0.442593514919281
7,0.807191014289856,0.41088786721229553,0.8085530996322632,0.4066959619522095
8,0.8086533546447754,0.4072354733943939,0.8105488419532776,0.4037279486656189
9,0.8098931908607483,0.4088231921195984,0.8002851009368896,0.41407907009124756
