model_a,model_b,auc_a,auc_b,auc_diff,z,p_raw,p_holm,significant_holm
CustomCNN,EfficientNetB0,0.8921477742013644,0.9190477223728732,-0.02689994817150887,-5.338017440860226,9.396842171049968e-08,4.698421085524984e-07,True
CustomCNN,MobileNetV2,0.8921477742013644,0.9174532777476097,-0.025305503546245278,-4.995958064678208,5.854438254182526e-07,2.3417753016730103e-06,True
CustomCNN,ResNet50,0.8921477742013644,0.9279589681276668,-0.03581119392630239,-7.324034260177321,2.4069635173873394e-13,1.4441781104324036e-12,True
EfficientNetB0,MobileNetV2,0.9190477223728732,0.9174532777476097,0.0015944446252635913,0.3433938244030499,0.7313022048163762,0.7313022048163762,False
EfficientNetB0,ResNet50,0.9190477223728732,0.9279589681276668,-0.008911245754793518,-2.0021122307866728,0.0452726623878319,0.0905453247756638,False
MobileNetV2,ResNet50,0.9174532777476097,0.9279589681276668,-0.010505690380057109,-2.3449137052192395,0.01903148383351616,0.05709445150054848,False
