model_a,model_b,auc_a,auc_b,auc_diff,z,p_raw,p_holm,significant_holm
CustomCNN,EfficientNetB0,0.8921477742013644,0.9190477223728732,-0.02689994817150887,-10.00140169047965,0.0,0.0,True
CustomCNN,MobileNetV2,0.8921477742013644,0.9174532777476097,-0.025305503546245278,-9.767706220184074,0.0,0.0,True
CustomCNN,ResNet50,0.8921477742013644,0.9279589681276668,-0.03581119392630239,-14.351022022701148,0.0,0.0,True
EfficientNetB0,MobileNetV2,0.9190477223728732,0.9174532777476097,0.0015944446252635913,0.8901567459361833,0.3733817264617454,0.3733817264617454,False
EfficientNetB0,ResNet50,0.9190477223728732,0.9279589681276668,-0.008911245754793518,-5.3945404397903625,6.8699153921159e-08,1.37398307842318e-07,True
MobileNetV2,ResNet50,0.9174532777476097,0.9279589681276668,-0.010505690380057109,-6.529749146179048,6.587996814744201e-11,1.9763990444232604e-10,True
