model,auc,accuracy,macro_f1,sensitivity,specificity,tn,fp,fn,tp
CustomCNN,0.8921477742013645,0.7852421214450422,0.7782637561061748,0.8897414038079,0.6620897521768252,1977,1009,388,3131
EfficientNetB0,0.9190477223728732,0.8327440430438124,0.8324040232279218,0.8113100312588803,0.8580040187541862,2562,424,664,2855
MobileNetV2,0.9174532777476097,0.8350499615680246,0.8342567917739437,0.8357487922705314,0.8342263898191561,2491,495,578,2941
ResNet50,0.9279589681276668,0.8453497309761722,0.8446160171658623,0.8448422847399829,0.8459477561955794,2526,460,546,2973
