epoch,accuracy,loss,val_accuracy,val_loss
0,0.7658316493034363,0.49302810430526733,0.8001425266265869,0.4293556213378906
1,0.7877988219261169,0.44839680194854736,0.7853171825408936,0.4403325915336609
2,0.7955238819122314,0.4343670606613159,0.8047041893005371,0.40889716148376465
3,0.8026449680328369,0.4252091348171234,0.8143976926803589,0.3918807804584503
4,0.8044252395629883,0.4182564914226532,0.7931575179100037,0.4294831156730652
5,0.8076042532920837,0.4150664508342743,0.8188168406486511,0.3873739242553711
6,0.8083672523498535,0.41136491298675537,0.8171061873435974,0.3878091871738434
7,0.8083672523498535,0.4092191457748413,0.8037063479423523,0.4031298756599426
8,0.8096070885658264,0.4066665470600128,0.816678524017334,0.3831413984298706
9,0.8117370009422302,0.40712419152259827,0.8058446049690247,0.40110379457473755
